gene	SL-LOG1	SL-LOG2	SL-LOG3	SL-LOG4	SL-STAT1	SL-STAT2	SL-STAT3	SL-STAT4	SL-BPK275-1	SL-BPK275-2
LdBPK_010005000	456	1534	1033	1090	1939	2339	2051	2293	425	452
LdBPK_010005100	55	167	91	101	152	156	179	180	129	133
LdBPK_010005200	278	949	459	754	914	962	1048	998	197	202
LdBPK_010005300	96	186	78	137	266	249	313	314	129	145
LdBPK_010005400	121	371	169	235	657	452	498	590	416	407
LdBPK_010005500	58	103	39	90	141	70	85	98	45	19
LdBPK_010005600	173	481	203	341	569	537	624	668	241	288
LdBPK_010005700	33	84	33	62	110	82	67	94	35	44
LdBPK_010005800	0	4	2	1	1	2	4	2	3	3
LdBPK_010005900	111	326	175	298	545	503	529	566	203	257
LdBPK_010006000	198	691	337	390	635	620	679	817	126	106
LdBPK_010006100	93	298	133	268	403	264	381	402	130	227
LdBPK_010006200	29	117	40	56	118	120	101	128	46	58
LdBPK_010006300	73	196	110	135	328	303	290	315	121	122
LdBPK_010006400	20	64	27	39	84	80	71	80	109	131
LdBPK_010006500	16	57	30	34	53	65	40	31	34	39
LdBPK_010006600	15	55	44	61	138	86	141	146	120	109
LdBPK_010006700	246	811	418	637	779	745	743	884	126	162
LdBPK_010006800	17	47	20	53	70	57	59	61	22	15
LdBPK_010006900	5	21	3	11	41	30	26	53	12	8
LdBPK_010007000	110	360	168	284	727	533	660	721	80	100
LdBPK_010007100	72	184	64	149	166	145	112	128	42	51
LdBPK_010007200	55	188	79	130	239	220	204	249	106	112
LdBPK_010007300	53	150	60	81	171	148	136	175	65	101
LdBPK_010007400	3	10	8	12	16	22	17	19	10	19
LdBPK_010007500	2	15	6	5	9	8	13	6	1	0
LdBPK_010007600	61	178	66	129	126	88	123	138	21	55
LdBPK_010007700	45	125	58	84	200	132	109	115	49	56
LdBPK_010007800	44	105	39	85	150	92	116	100	78	60
LdBPK_010007900	547	1308	520	1034	1501	817	868	1125	222	253
LdBPK_010008000	14	12	8	27	31	21	21	22	11	3
LdBPK_010008100	18	60	31	58	132	88	85	119	22	19
LdBPK_010008200	31	94	41	73	120	77	107	117	15	10
LdBPK_010008300	167	485	205	315	697	677	823	863	127	159
LdBPK_010008400	177	452	179	343	763	470	555	722	76	89
LdBPK_010008500	3	19	8	11	31	19	32	33	25	16
LdBPK_010008600	157	512	209	288	401	387	430	497	104	138
LdBPK_010008700	56	158	67	137	307	245	227	212	74	78
LdBPK_010008800	24	72	22	41	130	99	99	109	72	96
LdBPK_010008900	4	8	2	9	21	10	6	13	10	8
LdBPK_010009000	3	15	3	11	17	11	10	7	3	4
LdBPK_010009100	6	9	9	11	28	25	24	16	4	17
LdBPK_010009200	89	190	54	143	288	105	197	155	3	9
LdBPK_010009300	90	272	92	160	437	253	295	280	102	105
LdBPK_010009400	5	10	6	13	26	25	31	25	820	996
LdBPK_010009500	416	1535	706	1118	1902	1573	1791	1850	698	784
LdBPK_010009600	962	3405	1490	2088	3441	3069	3493	3911	967	1192
LdBPK_010009700	880	2907	1390	1946	3500	2676	3460	3982	931	1243
LdBPK_010009800	439	1288	634	865	995	955	977	1237	208	340
LdBPK_010009900	137	490	200	384	388	369	429	399	305	333
LdBPK_010010000	302	1031	447	682	1016	759	841	939	201	182
LdBPK_010010100	59	134	63	93	473	273	311	417	71	48
LdBPK_010010200	70	208	86	132	212	178	164	164	98	109
LdBPK_010010300	900	2675	1264	1936	1433	1295	1510	1386	823	840
LdBPK_010010400	134	410	221	279	684	619	732	739	154	162
LdBPK_010010500	56	159	93	122	264	179	176	195	29	47
LdBPK_010010600	43	120	38	93	227	146	141	167	36	32
